municipio_geocodigo,data_iniSE,casos
3122009,2023-12-31,718
3122108,2023-12-31,143
3122207,2023-12-31,145
3122306,2023-12-31,10832
3122355,2023-12-31,24
3122405,2023-12-31,32
3122454,2023-12-31,10
3122470,2023-12-31,226
3122504,2023-12-31,170
3122603,2023-12-31,0
3122702,2023-12-31,366
3122801,2023-12-31,0
3122900,2023-12-31,40
3123007,2023-12-31,103
3123106,2023-12-31,19
3123205,2023-12-31,210
3123304,2023-12-31,18
3123403,2023-12-31,39
3123502,2023-12-31,262
3123528,2023-12-31,329
3123601,2023-12-31,152
3123700,2023-12-31,296
3123809,2023-12-31,705
3123858,2023-12-31,149
3123908,2023-12-31,120
3124005,2023-12-31,75
3124104,2023-12-31,1838
3124203,2023-12-31,639
3124302,2023-12-31,369
3124401,2023-12-31,0
3124500,2023-12-31,11
3124609,2023-12-31,2
3124708,2023-12-31,130
3124807,2023-12-31,571
3124906,2023-12-31,144
3125002,2023-12-31,22
3125101,2023-12-31,79
3125200,2023-12-31,7
3125309,2023-12-31,29
3125408,2023-12-31,5
3125507,2023-12-31,7
3125606,2023-12-31,166
3125705,2023-12-31,920
3125804,2023-12-31,58
3125903,2023-12-31,221
3125952,2023-12-31,289
3126000,2023-12-31,118
3126109,2023-12-31,1901
3126208,2023-12-31,746
3126307,2023-12-31,447
3126406,2023-12-31,34
3126505,2023-12-31,47
3126604,2023-12-31,74
3126703,2023-12-31,584
3126752,2023-12-31,158
3126802,2023-12-31,3
3126901,2023-12-31,55
3126950,2023-12-31,1
3127008,2023-12-31,536
3127057,2023-12-31,27
3127073,2023-12-31,13
3127107,2023-12-31,5288
3127206,2023-12-31,83
3127305,2023-12-31,18
3127339,2023-12-31,158
3127354,2023-12-31,26
3127370,2023-12-31,5
3127388,2023-12-31,56
3127404,2023-12-31,0
3127503,2023-12-31,55
3127602,2023-12-31,61
3127701,2023-12-31,5384
3127800,2023-12-31,134
3127909,2023-12-31,27
3128006,2023-12-31,591
3128105,2023-12-31,552
3128204,2023-12-31,79
3128253,2023-12-31,520
3128303,2023-12-31,164
3128402,2023-12-31,38
3128501,2023-12-31,212
3128600,2023-12-31,225
3128709,2023-12-31,799
3128808,2023-12-31,40
3128907,2023-12-31,250
3129004,2023-12-31,113
3129103,2023-12-31,79
3129202,2023-12-31,0
3129301,2023-12-31,6
3129400,2023-12-31,7
3129509,2023-12-31,1566
3129608,2023-12-31,323
3129657,2023-12-31,133
3129707,2023-12-31,36
3129806,2023-12-31,1918
3129905,2023-12-31,2
3130002,2023-12-31,5
3130051,2023-12-31,150
3130101,2023-12-31,854
3130200,2023-12-31,633
3130309,2023-12-31,533
3130408,2023-12-31,499
3130507,2023-12-31,707
3130556,2023-12-31,33
3130606,2023-12-31,4
3130655,2023-12-31,2
3130705,2023-12-31,370
3130804,2023-12-31,235
3130903,2023-12-31,679
3131000,2023-12-31,120
3131109,2023-12-31,435
3131158,2023-12-31,716
3131208,2023-12-31,31
3131307,2023-12-31,13629
3131406,2023-12-31,168
3131505,2023-12-31,0
3131604,2023-12-31,293
3131703,2023-12-31,3757
3131802,2023-12-31,78
3131901,2023-12-31,335
3132008,2023-12-31,7
3132107,2023-12-31,371
3132206,2023-12-31,634
3132305,2023-12-31,22
3132404,2023-12-31,280
3132503,2023-12-31,74
3132602,2023-12-31,39
3132701,2023-12-31,655
3132800,2023-12-31,0
3132909,2023-12-31,400
3133006,2023-12-31,35
3133105,2023-12-31,38
3133204,2023-12-31,3
3133303,2023-12-31,1204
3133402,2023-12-31,758
3133501,2023-12-31,614
3133600,2023-12-31,226
3133709,2023-12-31,791
3133758,2023-12-31,2990
3133808,2023-12-31,1292
3133907,2023-12-31,0
3134004,2023-12-31,734
3134103,2023-12-31,58
3134202,2023-12-31,7369
3134301,2023-12-31,76
3134400,2023-12-31,1123
3134509,2023-12-31,1
3134608,2023-12-31,580
3134707,2023-12-31,47
3134806,2023-12-31,409
3134905,2023-12-31,26
3135001,2023-12-31,22
3135050,2023-12-31,374
3135076,2023-12-31,21
3135100,2023-12-31,2424
3135209,2023-12-31,112
3135308,2023-12-31,15
3135357,2023-12-31,1241
3135407,2023-12-31,165
3135456,2023-12-31,84
3135506,2023-12-31,427
3135605,2023-12-31,51
3135704,2023-12-31,333
3135803,2023-12-31,136
3135902,2023-12-31,0
3136009,2023-12-31,520
3136108,2023-12-31,151
3136207,2023-12-31,4040
3136306,2023-12-31,2849
3136405,2023-12-31,46
3136504,2023-12-31,11
3136520,2023-12-31,7
3136553,2023-12-31,2
3136579,2023-12-31,45
3136603,2023-12-31,30
3136652,2023-12-31,1123
3136702,2023-12-31,2501
3136801,2023-12-31,2
3136900,2023-12-31,89
3136959,2023-12-31,75
3137007,2023-12-31,72
3137106,2023-12-31,393
3137205,2023-12-31,596
3137304,2023-12-31,29
3137403,2023-12-31,46
3137502,2023-12-31,966
3137536,2023-12-31,2516
3137601,2023-12-31,1655
3137700,2023-12-31,483
3137809,2023-12-31,18
3137908,2023-12-31,6
3138005,2023-12-31,38
3138104,2023-12-31,436
3138203,2023-12-31,7598
3138302,2023-12-31,49
3138351,2023-12-31,109
3138401,2023-12-31,590
3138500,2023-12-31,0
3138609,2023-12-31,72
3138625,2023-12-31,229
3138658,2023-12-31,486
3138674,2023-12-31,27
3138682,2023-12-31,376
3138708,2023-12-31,12
3138807,2023-12-31,248
3138906,2023-12-31,223
3139003,2023-12-31,449
3139102,2023-12-31,24
3139201,2023-12-31,667
3139250,2023-12-31,68
3139300,2023-12-31,454
3139409,2023-12-31,5037
3139508,2023-12-31,1125
3139607,2023-12-31,521
3139706,2023-12-31,229
3139805,2023-12-31,9
3139904,2023-12-31,28
3140001,2023-12-31,2320
3140100,2023-12-31,39
3140159,2023-12-31,115
3140209,2023-12-31,142
3140308,2023-12-31,94
