date,temp_med,precip_med,pressao_med,umid_med,temp_max,trimestre,state,region,trimestre_tick
2000-03-31,24.027366451266126,0.25737501486947767,0.9997792549271379,83.24445921261348,27.68542738807931,200001,RJ,Sudeste,2000-01
2000-06-30,19.801918463663583,0.034827783328947745,1.0052886368698966,79.92081751252041,24.47840995155144,200002,RJ,Sudeste,2000-02
2000-09-30,19.069028702622873,0.10651134355799456,1.0059303377752835,80.49593780103969,23.136102802930058,200003,RJ,Sudeste,2000-03
2000-12-31,23.348938604264326,0.1816965137973425,1.000778851135642,81.16389084560714,27.205555909572055,200004,RJ,Sudeste,2000-04
2001-03-31,25.136110710270273,0.19520088353435242,1.0005312422486485,81.34162959837838,29.27249365351351,200101,RJ,Sudeste,2001-01
2001-06-30,20.734042560138988,0.07886622904744654,1.0048177594387027,81.3783517859943,24.870160221311473,200102,RJ,Sudeste,2001-02
2001-09-30,19.950111894730625,0.06328226546429572,1.0070933015843573,78.57428547235351,24.47057149172968,200103,RJ,Sudeste,2001-03
2001-12-31,22.48381164945652,0.2525671999464179,1.0004144222022684,82.92285732998582,26.03130408376654,200104,RJ,Sudeste,2001-04
2002-03-31,24.957701430161944,0.20432456426385848,1.0000151748836033,82.02631771896087,28.93680424325236,200201,RJ,Sudeste,2002-01
2002-06-30,22.533293820532727,0.08021555651386993,1.0042580063461537,81.5898175550645,26.69888408313426,200202,RJ,Sudeste,2002-02
2002-09-30,20.50715395498582,0.07597975300175684,1.0062442259250945,79.56207849208411,24.639982935196123,200203,RJ,Sudeste,2002-03
2002-12-31,23.719403230912476,0.21280986512584357,1.0004566086964617,81.61999035195531,27.12316307914339,200204,RJ,Sudeste,2002-04
2003-03-31,,,,,,200301,RJ,Sudeste,2003-01
2003-06-30,21.24226441485507,0.039296399514572825,1.0050134714855072,79.25193579637681,26.246065023550724,200302,RJ,Sudeste,2003-02
2003-09-30,19.775206495343223,0.10842949503230838,1.006694995103484,78.95488212073128,23.87112738720248,200303,RJ,Sudeste,2003-03
2003-12-31,23.0596020142891,0.2834556276738465,1.0013546786647693,80.70604173710424,26.77447099193644,200304,RJ,Sudeste,2003-04
2004-03-31,23.718158866460396,0.2977676375535483,1.0001743184467822,82.81185842339109,27.24473421621287,200401,RJ,Sudeste,2004-01
2004-06-30,21.320598664417105,0.14143881710692824,1.0046379699976111,82.67605631927854,24.904457833253705,200402,RJ,Sudeste,2004-02
2004-09-30,20.187921875590735,0.0567218932231289,1.0067949800661626,78.14763617663043,24.304534402351134,200403,RJ,Sudeste,2004-03
2004-12-31,22.386680249958005,0.2196756640254482,1.0014369151453049,79.06215711758777,25.834284320846635,200404,RJ,Sudeste,2004-04
2005-03-31,24.629366401253918,0.37924906402737246,1.0004174950783697,83.87013019435736,28.00583003676261,200501,RJ,Sudeste,2005-01
2005-06-30,22.40355367025062,0.11260561858340176,1.004675199733911,81.95023652134901,26.16514433802599,200502,RJ,Sudeste,2005-02
2005-09-30,20.50213826222826,0.09575994217855317,1.0068194174917298,79.77082539248582,24.430278800685254,200503,RJ,Sudeste,2005-03
2005-12-31,23.32794824599156,0.1895558163634329,1.0013528707552741,80.02415825485232,26.87100186371308,200504,RJ,Sudeste,2005-04
2006-03-31,25.28402843169399,0.2485371162650273,0.9996096107650273,80.45003456830602,28.630744983606558,200601,RJ,Sudeste,2006-01
2006-06-30,20.31322502777778,0.05768822502565972,1.0073879576388889,78.15211292708334,23.313744538194445,200602,RJ,Sudeste,2006-02
2006-09-30,20.648344635491608,0.06138575806184652,1.0059903007913669,75.34127331654676,24.45877958752998,200603,RJ,Sudeste,2006-03
2006-12-31,24.128043165289256,0.31271735635024794,1.0006818726859503,83.49417568181818,26.900465669421486,200604,RJ,Sudeste,2006-04
2007-03-31,24.8984886171875,0.23122568360078125,1.000115382109375,85.3253220625,27.635491625,200701,RJ,Sudeste,2007-01
2007-06-30,22.440109341897234,0.07842199363850198,1.0033966160474308,80.24149390316205,26.21006880237154,200702,RJ,Sudeste,2007-02
2007-09-30,19.83121940625,0.060056914715625,1.0065056521875,78.6819731875,23.73646446875,200703,RJ,Sudeste,2007-03
2007-12-31,21.778487791304347,0.08420120050584348,1.0027205276086957,75.70057423478261,25.791519965217393,200704,RJ,Sudeste,2007-04
2008-03-31,24.34117697079038,0.33364467590274915,0.9990601495876289,83.43055383161511,27.553433692439864,200801,RJ,Sudeste,2008-01
2008-06-30,23.11356865128205,0.2894662440805641,0.9989286877435897,85.00959643076924,26.296274343589744,200802,RJ,Sudeste,2008-02
2008-09-30,19.26932046788991,0.024041398870366975,1.0090708183486239,78.12183767889907,22.18676958715596,200803,RJ,Sudeste,2008-03
2008-12-31,22.477075965147453,0.26753859524083107,1.0008031375067024,84.59382535924932,25.169101908847182,200804,RJ,Sudeste,2008-04
2009-03-31,25.23431963276836,0.275290938494096,0.999111504519774,83.35458265536724,28.804538779661016,200901,RJ,Sudeste,2009-01
2009-06-30,21.223514998893805,0.15953570284603982,1.002784938318584,82.59709809070796,24.43709821681416,200902,RJ,Sudeste,2009-02
2009-09-30,21.367941587526207,0.06906841999355974,1.004411314067086,78.61836839832286,25.71089336792453,200903,RJ,Sudeste,2009-03
2009-12-31,24.332013410502956,0.5963049030368122,0.9974155958431953,84.12276073446746,27.66560532174556,200904,RJ,Sudeste,2009-04
2010-03-31,26.03073547572464,0.2235137222793342,0.9997932463502417,78.22176482729468,30.260289634420293,201001,RJ,Sudeste,2010-01
